Step, Fidelity
0, 0.3138
1, 0.2896
2, 0.2213
3, 0.3277
4, 0.5314
5, 0.3620
6, 0.5696
7, 0.3892
8, 0.2291
9, 0.1055
10, 0.2107
11, 0.1596
12, 0.5390
13, 0.5070
14, 0.5624
15, 0.5518
16, 0.4795
17, 0.0362
18, 0.0293
19, 0.0295
20, 0.0092
21, 0.5050
22, 0.5094
23, 0.3314
24, 0.6824
25, 0.7104
26, 0.0678
27, 0.0420
28, 0.0932
29, 0.6885
30, 0.4117
31, 0.3927
32, 0.4272
33, 0.0650
34, 0.0567
35, 0.0303
36, 0.0119
37, 0.0094
38, 0.0042
39, 0.7260
40, 0.6525
41, 0.0093
42, 0.5857
43, 0.5963
44, 0.6562
45, 0.2615
46, 0.1609
47, 0.0988
48, 0.2447
49, 0.6010
50, 0.5971
51, 0.5737
52, 0.6381
53, 0.6759
54, 0.6688
55, 0.6152
56, 0.6667
57, 0.3873
58, 0.6667
59, 0.5792
60, 0.6319
61, 0.1072
62, 0.1085
63, 0.0196
64, 0.5078
65, 0.3264
66, 0.3244
67, 0.3079
68, 0.2572
69, 0.2609
70, 0.1015
71, 0.0261
72, 0.0244
73, 0.0111
74, 0.0710
75, 0.3387
76, 0.0826
77, 0.3387
78, 0.0826
79, 0.3387
80, 0.4670
81, 0.4848
82, 0.5138
83, 0.0841
84, 0.0847
85, 0.4547
86, 0.0816
87, 0.1703
88, 0.1778
89, 0.1888
90, 0.2250
91, 0.2289
92, 0.2833
93, 0.1397
94, 0.2095
95, 0.7232
96, 0.2095
97, 0.3367
98, 0.3469
99, 0.1974
100, 0.1879
101, 0.1459
102, 0.1521
103, 0.2448
104, 0.0722
105, 0.1402
106, 0.1801
107, 0.0795
108, 0.5725
109, 0.4136
110, 0.0083
111, 0.0344
112, 0.0376
113, 0.0655
114, 0.1434
115, 0.0655
116, 0.3039
117, 0.3414
118, 0.2890
119, 0.2913
120, 0.3088
121, 0.4505
122, 0.3788
123, 0.1764
124, 0.3788
125, 0.3473
126, 0.1970
127, 0.1260
128, 0.1099
129, 0.4994
130, 0.4965
131, 0.2030
132, 0.2253
133, 0.0601
134, 0.2253
135, 0.2254
136, 0.2211
137, 0.2378
138, 0.2561
139, 0.2325
140, 0.2588
141, 0.2106
142, 0.1019
143, 0.1492
144, 0.2674
145, 0.2843
146, 0.3529
147, 0.2843
148, 0.3091
149, 0.3233
150, 0.2874
151, 0.2646
152, 0.1647
153, 0.1791
